"Lines added per developer per month","Lines deleted per developer per month","Day of the week",Month,"Commits per developer per month","Developer count",Year,"Year and month","Lines added","Commit count"
48.0000,17.0000,Thursday,January,4.6667,3,2013,2013-1,144,14
49.0000,23.0000,Thursday,February,1.0000,1,2013,2013-2,49,1
48.6667,43.0000,Friday,March,1.0000,3,2013,2013-3,146,3
6.6667,2.3333,Sunday,April,1.3333,3,2013,2013-4,20,4
17.0000,1.5000,Thursday,May,1.0000,2,2013,2013-5,34,2
30.5000,1.5000,Tuesday,July,1.0000,2,2013,2013-7,61,2
22.7500,2.2500,Friday,August,1.0000,4,2013,2013-8,91,4
9.5000,7.0000,Sunday,September,3.0000,2,2013,2013-9,19,6
6.0000,4.0000,Thursday,October,1.0000,1,2013,2013-10,6,1
5.0000,5.0000,Monday,November,2.0000,1,2013,2013-11,5,2
4.0000,0.0000,Saturday,December,2.0000,1,2013,2013-12,4,2
71.5000,7.0000,Thursday,January,1.0000,2,2014,2014-1,143,2
12.5000,10.5000,Tuesday,February,2.0000,2,2014,2014-2,25,4
92.5000,110.5000,Thursday,March,1.0000,2,2014,2014-3,185,2
48.0000,48.0000,Wednesday,April,4.0000,1,2014,2014-4,48,4
38.6667,15.0000,Friday,May,1.0000,3,2014,2014-5,116,3
